Regions Code,Regions,Gender identity (4 categories) Code,Gender identity (4 categories),Ethnic group (8 categories) Code,Ethnic group (8 categories),Observation
E12000001,North East,-8,Does not apply,-8,Does not apply,0
E12000001,North East,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",0
E12000001,North East,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",0
E12000001,North East,-8,Does not apply,3,Mixed or Multiple ethnic groups,0
E12000001,North East,-8,Does not apply,4,"White: English, Welsh, Scottish, Northern Irish or British",0
E12000001,North East,-8,Does not apply,5,White: Irish,0
E12000001,North East,-8,Does not apply,6,"White: Gypsy or Irish Traveller, Roma or Other White",0
E12000001,North East,-8,Does not apply,7,Other ethnic group,0
E12000001,North East,1,Gender identity the same as sex registered at birth,-8,Does not apply,0
E12000001,North East,1,Gender identity the same as sex registered at birth,1,"Asian, Asian British or Asian Welsh",66855
E12000001,North East,1,Gender identity the same as sex registered at birth,2,"Black, Black British, Black Welsh, Caribbean or African",16847
E12000001,North East,1,Gender identity the same as sex registered at birth,3,Mixed or Multiple ethnic groups,17305
E12000001,North East,1,Gender identity the same as sex registered at birth,4,"White: English, Welsh, Scottish, Northern Irish or British",1898803
E12000001,North East,1,Gender identity the same as sex registered at birth,5,White: Irish,7460
E12000001,North East,1,Gender identity the same as sex registered at birth,6,"White: Gypsy or Irish Traveller, Roma or Other White",42080
E12000001,North East,1,Gender identity the same as sex registered at birth,7,Other ethnic group,16520
E12000001,North East,2,Gender identity different from sex registered at birth,-8,Does not apply,0
E12000001,North East,2,Gender identity different from sex registered at birth,1,"Asian, Asian British or Asian Welsh",970
E12000001,North East,2,Gender identity different from sex registered at birth,2,"Black, Black British, Black Welsh, Caribbean or African",511
E12000001,North East,2,Gender identity different from sex registered at birth,3,Mixed or Multiple ethnic groups,213
E12000001,North East,2,Gender identity different from sex registered at birth,4,"White: English, Welsh, Scottish, Northern Irish or British",7003
E12000001,North East,2,Gender identity different from sex registered at birth,5,White: Irish,54
E12000001,North East,2,Gender identity different from sex registered at birth,6,"White: Gypsy or Irish Traveller, Roma or Other White",650
E12000001,North East,2,Gender identity different from sex registered at birth,7,Other ethnic group,523
E12000001,North East,3,Not answered,-8,Does not apply,0
E12000001,North East,3,Not answered,1,"Asian, Asian British or Asian Welsh",7125
E12000001,North East,3,Not answered,2,"Black, Black British, Black Welsh, Caribbean or African",1372
E12000001,North East,3,Not answered,3,Mixed or Multiple ethnic groups,1221
